16000BZU20  D13E STM1AAAC1D                           D13E 16000BZV80  SO20240005605000 Y 200072000799999                    ENGINE ASSY, L/CLUTCH                   ZZ                                                                                              2024011920240222 20240222   D24XM0075                         D24X 2023                                      20240119        TAKU                                                        83032                                                                                                                                                                                                                                                                                                                                                                                                20240726WARP 20240726WARP 
16000BZU20  D92A STM1AAAC1D                           D13E 16000BZU20  SO20240005607500 N 200072000799999                    ENGINE ASSY, L/CLUTCH                   ZZ                                                                                              2024012220240223 20240223   D41HM2367                         D41H 2020                                      20240122        TAKU                                                        83032                                                                                                                                                                                                                                                                                                                                                                                                20240726WARP 20240726WARP 
184610E210  500D JM11AAAC1D                           500D 184610C360  SO20240005605100 Y 300023000299999                    CATALYST, MONOLITHIC                    ZZ                                                                                              2024070820240813 20240813   058JF0560                         058J 2024                                      20240708        SAKURAI                                                     09063873821                                                                                                                                                                                                                                                                                                                                                                                          20240726WARP 20240726WARP 
274150L040  482D SBI1AAAC1GC                          482D 274150L050  SO20240005605200YY 500175001799999                    PULLEY, ALTERNATOR W/CLUTCH             ZZ                                                                                              2024052120240624 20240624                                     025J 2025                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       20240726WARP 20240726WARP 
56117KK041  481D IRC1AAAC1J                           274D 56117KK041  SO20240005607400 N 100071000799999                    DAM, WINDOW GLASS ADHESIVE              ZZ                                                                                              2024072520240828 20240828                                     024J 2024                                      20240725                                                                                                                                                                                                                                                                                                                                                                                                                                                                         20240726WARP 20240726WARP 
57023KK030C 500D STEMAAAC1D                           500D 57023KK020B SO20240005605300 Y 300063000699999                    MEMBER SUB-ASSY, RR SIDE, RH            ZZ                                                                                              2024070420240809 20240809   058JF0563                         058J 2024                                      20240704        F.IWAI                                                      09063873803                                                                                                                                                                                                                                                                                                                                                                                          20240726WARP 20240726WARP 
57024KK030C 500D STEMAAAC1D                           500D 57024KK020B SO20240005605400 Y 300063000699999                    MEMBER SUB-ASSY, RR SIDE, LH            ZZ                                                                                              2024070420240809 20240809   058JF0563                         058J 2024                                      20240704        F.IWAI                                                      09063873803                                                                                                                                                                                                                                                                                                                                                                                          20240726WARP 20240726WARP 
586610K530  482D TBASKAAC1H                           482D 58661581DP1 SO20240005605500 Y 500125001299999                    SHEET, FR FLOOR SILENCER, CTR FR        ZZ                                          58661581DP                                          2024071720240822 20240822N                                    025J 2025                                      20240717                                                                                                                                                                                            TBAS                                                                                                                                                                                                                                                                         20240726WARP 20240726WARP 
586610K540  482D TBASKAAC1H                           482D 58661581DP1 SO20240005605600 Y 500125001299999                    SHEET, FR FLOOR SILENCER, CTR FR        ZZ                                          58661581DP                                          2024071720240822 20240822N                                    025J 2025                                      20240717                                                                                                                                                                                            TBAS                                                                                                                                                                                                                                                                         20240726WARP 20240726WARP 
81110BZB30N D54B TSE1AAAC1D                           D92A 81110BZB30M SO20240005607300 N 800048000499999                    HEADLAMP ASSY, RH                       ZZ                                                                                              2024072520240828 20240828   D41HM2489                         D41H 2023                                      20240725        D.SAITO                                                     661-5377                                                                                                                                                                                                                                                                                                                                                                                             20240726WARP 20240726WARP 
81110BZB40N D54B TSE1AAAC1D                           D92A 81110BZB40M SO20240005607200 N 800048000499999                    HEADLAMP ASSY, RH                       ZZ                                                                                              2024072520240828 20240828   D41HM2489                         D41H 2023                                      20240725        D.SAITO                                                     661-5377                                                                                                                                                                                                                                                                                                                                                                                             20240726WARP 20240726WARP 
81110BZB50N D54B TSE1AAAC1D                           D54B 81110BZB50M SO20240005607100 N 800048000499999                    HEADLAMP ASSY, RH                       ZZ                                                                                              2024072520240828 20240828   D41HM2489                         D41H 2023                                      20240725        D.SAITO                                                     661-5377                                                                                                                                                                                                                                                                                                                                                                                             20240726WARP 20240726WARP 
81110BZB60N D54B TSE1AAAC1D                           D92A 81110BZB60M SO20240005607000 N 800048000499999                    HEADLAMP ASSY, RH                       ZZ                                                                                              2024072520240828 20240828   D41HM2489                         D41H 2023                                      20240725        D.SAITO                                                     661-5377                                                                                                                                                                                                                                                                                                                                                                                             20240726WARP 20240726WARP 
81110BZB70N D54B TSE1AAAC1D                           D54B 81110BZB70M SO20240005606900 N 800048000499999                    HEADLAMP ASSY, RH                       ZZ                                                                                              2024072520240828 20240828   D41HM2489                         D41H 2023                                      20240725        D.SAITO                                                     661-5377                                                                                                                                                                                                                                                                                                                                                                                             20240726WARP 20240726WARP 
81110BZB80N D54B TSE1AAAC1D                           D92A 81110BZB80M SO20240005606800 N 800048000499999                    HEADLAMP ASSY, RH                       ZZ                                                                                              2024072520240828 20240828   D41HM2489                         D41H 2023                                      20240725        D.SAITO                                                     661-5377                                                                                                                                                                                                                                                                                                                                                                                             20240726WARP 20240726WARP 
